Fraction,Specimen mass [g],ρs [g/cm³],Gs [−]
>75 µm,0.5,2.2874,2.2879
>75 µm,2.0,2.6994,2.6999
>75 µm,10.0,2.941,2.9415
>75 µm,20.0,2.9605,2.961
<75 µm,0.5,2.0911,2.0915
<75 µm,2.0,2.8275,2.8282
<75 µm,10.0,2.9595,2.9603
<75 µm,20.0,2.9474,2.948
