Test,Initial mass [g],Recovered mass [g],Loss [%],Passing 0.075 mm [%],D50 [mm],Max dev vs ref [pp],RMS dev vs ref [pp]
50A,50.18,49.76,0.84,22.95,0.1241,0.73,0.32
50B,50.26,49.8,0.92,21.49,0.1236,0.73,0.32
10A,10.12,10.03,0.89,31.9,0.121,9.69,3.98
10B,10.22,10.04,1.76,31.27,0.1204,9.06,3.72
2A,2.15,2.03,5.58,31.03,0.1579,8.82,6.57
2B,2.2,2.23,-1.36,31.39,0.1228,9.17,3.85
0.5A,0.55,0.53,3.64,35.85,0.1062,13.63,6.64
0.5B,0.6,0.51,15.0,31.37,0.1294,9.15,4.13
