Specimen mass [g],n,Median ρs [g/cm³],SD ρs [g/cm³],Median Gs [−],Δρs vs 20 g [g/cm³]
20.0,1,2.9703,,2.9715,-0.0175
20.0,1,3.0053,,3.0066,0.0175
10.0,1,2.9495,,2.9504,-0.0382
10.0,1,2.9432,,2.9441,-0.0446
2.0,1,2.7036,,2.7044,-0.2842
2.0,1,2.722,,2.7228,-0.2658
0.5,1,2.1386,,2.1392,-0.8492
0.5,1,1.9261,,1.9266,-1.0617
